Dirt Ground,(-0.50, 0.00, 4.50)
Dirt Ground,(-1.50, 0.00, 4.50)
Dirt Ground,(-2.50, 0.00, 4.50)
Dirt Ground,(-3.50, 0.00, 4.50)
Dirt Ground,(-4.50, 0.00, 4.50)
Dirt Ground,(-5.50, 0.00, 4.50)
Dirt Ground,(-6.50, 0.00, 4.50)
Dirt Ground,(-7.50, 0.00, 4.50)
Dirt Ground,(-0.50, 0.00, 3.50)
Dirt Ground,(-1.50, 0.00, 3.50)
Dirt Ground,(-2.50, 0.00, 3.50)
Dirt Ground,(-3.50, 0.00, 3.50)
Dirt Ground,(-4.50, 0.00, 3.50)
Dirt Ground,(-5.50, 0.00, 3.50)
Dirt Ground,(-6.50, 0.00, 3.50)
Dirt Ground,(-7.50, 0.00, 3.50)
Dirt Ground,(-0.50, 0.00, 2.50)
Dirt Ground,(-1.50, 0.00, 2.50)
Dirt Ground,(-2.50, 0.00, 2.50)
Dirt Ground,(-3.50, 0.00, 2.50)
Dirt Ground,(-4.50, 0.00, 2.50)
Dirt Ground,(-5.50, 0.00, 2.50)
Dirt Ground,(-6.50, 0.00, 2.50)
Dirt Ground,(-7.50, 0.00, 2.50)
Dirt Ground,(-0.50, 0.00, 1.50)
Dirt Ground,(-1.50, 0.00, 1.50)
Dirt Ground,(-2.50, 0.00, 1.50)
Dirt Ground,(-3.50, 0.00, 1.50)
Dirt Ground,(-4.50, 0.00, 1.50)
Dirt Ground,(-5.50, 0.00, 1.50)
Dirt Ground,(-6.50, 0.00, 1.50)
Dirt Ground,(-7.50, 0.00, 1.50)
Dirt Ground,(-0.50, 0.00, 0.50)
Dirt Ground,(-1.50, 0.00, 0.50)
Dirt Ground,(-2.50, 0.00, 0.50)
Dirt Ground,(-3.50, 0.00, 0.50)
Dirt Ground,(-4.50, 0.00, 0.50)
Dirt Ground,(-5.50, 0.00, 0.50)
Dirt Ground,(-6.50, 0.00, 0.50)
Dirt Ground,(-7.50, 0.00, 0.50)
Dirt Ground,(-0.50, 0.00, -0.50)
Dirt Ground,(-1.50, 0.00, -0.50)
Dirt Ground,(-2.50, 0.00, -0.50)
Dirt Ground,(-3.50, 0.00, -0.50)
Dirt Ground,(-4.50, 0.00, -0.50)
Dirt Ground,(-5.50, 0.00, -0.50)
Dirt Ground,(-6.50, 0.00, -0.50)
Dirt Ground,(-7.50, 0.00, -0.50)
Dirt Ground,(-0.50, 0.00, -1.50)
Dirt Ground,(-1.50, 0.00, -1.50)
Dirt Ground,(-2.50, 0.00, -1.50)
Dirt Ground,(-3.50, 0.00, -1.50)
Dirt Ground,(-4.50, 0.00, -1.50)
Dirt Ground,(-5.50, 0.00, -1.50)
Dirt Ground,(-6.50, 0.00, -1.50)
Dirt Ground,(-7.50, 0.00, -1.50)
Dirt Ground,(-0.50, 0.00, -2.50)
Dirt Ground,(-1.50, 0.00, -2.50)
Dirt Ground,(-2.50, 0.00, -2.50)
Dirt Ground,(-3.50, 0.00, -2.50)
Dirt Ground,(-4.50, 0.00, -2.50)
Dirt Ground,(-5.50, 0.00, -2.50)
Dirt Ground,(-6.50, 0.00, -2.50)
Dirt Ground,(-7.50, 0.00, -2.50)
Dirt Ground,(-0.50, 0.00, -3.50)
Dirt Ground,(-1.50, 0.00, -3.50)
Dirt Ground,(-2.50, 0.00, -3.50)
Dirt Ground,(-3.50, 0.00, -3.50)
Dirt Ground,(-4.50, 0.00, -3.50)
Dirt Ground,(-5.50, 0.00, -3.50)
Dirt Ground,(-6.50, 0.00, -3.50)
Dirt Ground,(-7.50, 0.00, -3.50)
